row,column,cor,p
agreeableness,collectionbytes,0.093047489129087,0.0830431949455
agreeableness,totalfolders,0.05105816906801,0.342279744197656
agreeableness,X..switches,0.039099462111329,0.470439086713628
agreeableness,X..empty.folders,0.01872550122808,0.727770040122548
agreeableness,foldersattoplevel,-0.003887921848622,0.94238897660879
agreeableness,filedepthMean,-0.005963735965291,0.913014711839992
agreeableness,folderdepthMean,-0.008104492694835,0.882512801318837
agreeableness,rootnodecount,-0.011083739859562,0.840303785516329
agreeableness,filesperfolderMean,-0.014152648219123,0.7924908395777
agreeableness,folderdepthModecount,-0.02813464513408,0.6009323518922
agreeableness,folderdepthMode,-0.033748512896534,0.535746840760632
agreeableness,X..leaves,-0.03583770607571,0.515214129221492
agreeableness,branchingfactorMean,-0.04239127246112,0.457061277613691
agreeableness,folderdepthMax,-0.043305651856591,0.421303742097103
agreeableness,totalfiles,-0.055635323247959,0.300701074575127
agreeableness,unfiledfiles,-0.062554385526936,0.244473230813912
conscientiousness,totalfolders,0.072334382910351,0.178209129874736
conscientiousness,folderdepthModecount,0.065481066817249,0.223054322467653
conscientiousness,branchingfactorMean,0.028828108035498,0.613119326282597
conscientiousness,X..leaves,0.025707385295718,0.640699261093909
conscientiousness,X..empty.folders,-0.004569156240262,0.932316822917604
conscientiousness,collectionbytes,-0.02834126491198,0.59826089060983
conscientiousness,foldersattoplevel,-0.032719826185861,0.54295718049602
conscientiousness,filesperfolderMean,-0.034344111318351,0.523106354506417
conscientiousness,rootnodecount,-0.037101439131835,0.499850980709951
conscientiousness,folderdepthMode,-0.053114275157326,0.329553406885308
conscientiousness,X..switches,-0.055955566001904,0.301445572698985
conscientiousness,unfiledfiles,-0.092134640295985,0.08612221931533
conscientiousness,totalfiles,-0.093375404326128,0.08195906448073
conscientiousness,folderdepthMax,-0.137208286071953,0.010503490636195
conscientiousness,filedepthMean,-0.144354305531676,0.007859989085945
conscientiousness,folderdepthMean,-0.159753571224358,0.003369021628943
extraversion,X..switches,0.112550300440667,0.037207871720619
extraversion,collectionbytes,0.101876042024623,0.057620037393419
extraversion,folderdepthMode,0.08846636548171,0.10394715229082
extraversion,filedepthMean,0.069789882626432,0.200587603346989
extraversion,folderdepthMean,0.058751918672238,0.28361055536869
extraversion,folderdepthMax,0.046025982298075,0.392701487477358
extraversion,totalfiles,0.037219284282961,0.488900600877535
extraversion,rootnodecount,0.010687904473637,0.845934627860243
extraversion,folderdepthModecount,-0.001468118138516,0.978229337060632
extraversion,filesperfolderMean,-0.001787032250255,0.973501749926855
extraversion,unfiledfiles,-0.006007129642715,0.911093495071992
extraversion,totalfolders,-0.010263086384161,0.848704555460429
extraversion,branchingfactorMean,-0.055034707045968,0.334142420995859
extraversion,X..empty.folders,-0.063811408618212,0.235103835972821
extraversion,X..leaves,-0.072364392660397,0.188411126229099
extraversion,foldersattoplevel,-0.092336546242892,0.085433402647885
openness,folderdepthModecount,0.098318262507389,0.06695958476655
openness,totalfiles,0.097170848855939,0.070223970718695
openness,folderdepthMode,0.093088126825631,0.08702182229648
openness,folderdepthMax,0.073921819604684,0.169465697118102
openness,totalfolders,0.044370684415217,0.409284862097084
openness,X..switches,0.032432568731776,0.549423373675462
openness,folderdepthMean,0.031451028169749,0.566212368157789
openness,filedepthMean,0.031393225333138,0.565182340727511
openness,branchingfactorMean,0.025008560610653,0.660943450613993
openness,collectionbytes,0.017686704544032,0.742322118650887
openness,rootnodecount,0.016633205347589,0.762341745311204
openness,unfiledfiles,-0.035888420249861,0.504583058454366
openness,foldersattoplevel,-0.050271880193103,0.349774407921071
openness,X..leaves,-0.056643050183137,0.303470631166216
openness,filesperfolderMean,-0.064233847908697,0.232012702352295
openness,X..empty.folders,-0.16066935974397,0.002646943150965
sodtotal,totalfiles,0.178249812346882,0.000837691503303
sodtotal,branchingfactorMean,0.108453661083106,0.056463693879796
sodtotal,filedepthMean,0.102534758748087,0.059692089377871
sodtotal,rootnodecount,0.098711803611316,0.072027568661245
sodtotal,folderdepthMax,0.09413972398496,0.079912833010572
sodtotal,folderdepthMode,0.087474348185667,0.107899175557711
sodtotal,X..leaves,0.069352251987418,0.207521412889512
sodtotal,folderdepthMean,0.068503467159795,0.211079575931327
sodtotal,collectionbytes,0.044866716787087,0.404063144008227
sodtotal,unfiledfiles,0.023195281352531,0.666320363912166
sodtotal,foldersattoplevel,-0.003915939722861,0.941974536106809
sodtotal,totalfolders,-0.017735665534323,0.741634133773381
sodtotal,folderdepthModecount,-0.031772554113285,0.554704049506675
sodtotal,X..switches,-0.070999568381881,0.189592238268626
sodtotal,X..empty.folders,-0.115949522098086,0.030577589333291
sodtotal,filesperfolderMean,-0.158099892438453,0.003103208988269
stability,folderdepthMode,0.090826258423734,0.095005573472476
stability,totalfiles,0.065714556875489,0.221405000047399
stability,unfiledfiles,0.055073994002055,0.305611777982026
stability,folderdepthMax,0.013333394510463,0.804530253956459
stability,foldersattoplevel,0.007254970586677,0.89272686980067
stability,totalfolders,-0.005593394174842,0.917194099735091
stability,rootnodecount,-0.021226663105279,0.699543174332007
stability,filesperfolderMean,-0.025426383334283,0.636432298056578
stability,folderdepthModecount,-0.027353789357001,0.611076405729339
stability,collectionbytes,-0.029661460873984,0.581319811293641
stability,X..switches,-0.031485661744117,0.561147406139989
stability,X..empty.folders,-0.032165883268348,0.549811486189618
stability,filedepthMean,-0.032254026468142,0.554560548582581
stability,folderdepthMean,-0.047561457549569,0.385528471850759
stability,branchingfactorMean,-0.058421174405514,0.30520677031418
stability,X..leaves,-0.061893151506107,0.260770465453634
